product_id,seller_id,category_id,country_id,condition_id,product_name,product_price,shipping_fee,page_number,category_id,category,condition_id,product_condition,seller_id,seller_name,seller_feedback_score,country_id,origin_country
1,1,1,1,1,Apple iPhone 12 Pro Max - 256gb - Unlocked - Factory Sealed - Factory Warranty,4341.26,157.58,1,1,Cell Phones & Accessories,1,New,1,alldayzip,32390,1,United States
2,2,1,1,2,Apple iPhone 12 Mini Smartphone 64 128 256GB AT&T T-Mobile Verizon or Unlocked,1834.76,106.84,1,1,Cell Phones & Accessories,2,Seller refurbished,2,supplytronics,69441,1,United States
3,3,1,1,1,Apple iPhone 12 - 64GB / 128GB (UNLOCKED)  Factory Warranty  ⚫⚪🔴🔵 ✤NEW SEALED✤,2853.9,125.29,1,1,Cell Phones & Accessories,1,New,3,santamonicawireless,22198,1,United States
4,1,1,1,1,Apple iPhone 12 Mini - 128gb - Unlocked - Factory Sealed - Factory Warranty,2703.68,118.44,1,1,Cell Phones & Accessories,1,New,1,alldayzip,32390,1,United States
5,5,1,5,1,Apple iPhone 12 Pro Max - 128GB - Pacific Blue,2282.42,23.05,1,1,Cell Phones & Accessories,1,New,5,teall_37,0,5,Ukraine
6,1,1,1,1,Apple iPhone 12 Pro - 256gb - GSM & CDMA Unlocked - Sealed - Factory Warranty,3893.4,149.49,1,1,Cell Phones & Accessories,1,New,1,alldayzip,32390,1,United States
7,1,1,1,1,Apple iPhone 12 Pro Max - 128gb - Unlocked - Factory Sealed - Factory Warranty,4073.9,152.73,1,1,Cell Phones & Accessories,1,New,1,alldayzip,32390,1,United States
8,8,1,1,8,Apple iPhone 12 Pro - 256GB - Pacific Blue (Unlocked),2707.02,162.55,1,1,Cell Phones & Accessories,8,Used,8,foxfirefarmscolorado,412,1,United States
9,9,1,1,8,Apple iPhone 12 A2172 64/128/256GB AT&T T-Mobile Sprint Verizon Unlocked,2305.95,110.65,1,1,Cell Phones & Accessories,8,Used,9,gsmsupplier,38423,1,United States
10,10,1,5,1,Apple iPhone 12 Pro Max - 256GB - Gold (Unlocked),1558.5,50.72,1,1,Cell Phones & Accessories,1,New,10,toseau93,0,5,Ukraine
11,8,1,1,8,Apple iPhone 12 Pro - 256GB - Gold (Unlocked),2539.92,164.73,1,1,Cell Phones & Accessories,8,Used,8,foxfirefarmscolorado,412,1,United States
12,12,1,5,1,Apple iPhone 12 Pro - 128GB - Pacific Blue A2407,2291.65,23.05,1,1,Cell Phones & Accessories,1,New,12,theth_5176,0,5,Ukraine
13,13,1,5,1,Apple iPhone 12 Pro Max - 256GB - Graphite (UNLOCKED),1650.72,50.72,1,1,Cell Phones & Accessories,1,New,13,thetho8489,0,5,Ukraine
14,14,1,14,8,Apple iPhone 12 mini - 256GB - Blue (Unlocked),3223.06,168.99,1,1,Cell Phones & Accessories,8,Used,14,tsd1963,305,14,United Kingdom
15,15,1,15,1,Apple iPhone 12 Pro Max - 256GB - Pacific Blue (Unlocked),2302.72,34.57,1,1,Cell Phones & Accessories,1,New,15,pagabela-0,0,15,Philippines
16,2,1,1,2,Apple iPhone 7 Plus Smartphone 32GB 128GB 256GB Factory Unlocked 4G LTE WiFi iOS,584.85,84.22,1,1,Cell Phones & Accessories,2,Seller refurbished,2,supplytronics,69441,1,United States
