product_name,shipping_fee,page_number,product_condition,seller_feedback_score,origin_country,manufacturer,category,product_price
iphone 12,132.96,2,New,1133,United States,apple,Smartphones,3330.67
xiaomi mi 10,0.0,2,Used,25703,China,xiaomi,Smartphones,650.03
galaxy s10,91.53,3,Seller refurbished,94331,United States,samsung,Smartphones,1039.77
galaxy tab,117.14,1,For parts or not working,338,United Kingdom,samsung,Tablets,135.43
macbook pro,135.26,4,Used,371,United States,apple,Computers,1382.24
ipad air,133.36,4,Used,4780,United Kingdom,apple,Tablets,1196.83
lenovo thinkpad,174.23,3,Seller refurbished,43381,United States,lenovo,Computers,1448.86
huawei mediapad,90.04,4,New,3408,China,huawei,Tablets,121.37
ipad air,150.18,4,New,3067,United States,apple,Tablets,2164.79
huawei p30,80.67,4,Open box,12350,United States,huawei,Smartphones,592.86
lenovo thinkbook,262.46,2,New,20349,United States,lenovo,Computers,2329.26
huawei p40,0.0,3,New,5010,United Kingdom,huawei,Smartphones,5059.1
asus vivobook,215.43,3,Open box,546,United States,asus,Computers,2098.31
huawei p30,90.0,1,For parts or not working,27114,United Kingdom,huawei,Smartphones,690.27
dell latitude,144.09,2,Used,3775,United States,dell,Tablets,632.67
iphone 12,148.45,2,Open box,58,United States,apple,Smartphones,2164.96
iphone 12,158.9,2,New,80,United Kingdom,apple,Smartphones,3272.64
galaxy tab,106.25,3,New,203,United States,samsung,Tablets,39.0
huawei p40,86.72,4,Used,3637,United Kingdom,huawei,Smartphones,607.2
galaxy book,165.6,1,New,15,United States,samsung,Computers,3064.25
dell vostro,222.41,2,Seller refurbished,13952,United Kingdom,dell,Computers,2843.89
dell latitude,204.16,1,Used,979,United Kingdom,dell,Tablets,460.29
galaxy s10,125.77,2,Seller refurbished,882,United Kingdom,samsung,Smartphones,539.77
huawei p40,79.94,1,New,45,Romania,huawei,Smartphones,895.96
hp zbook,156.89,1,Seller refurbished,653,United States,hp,Computers,1538.71
huawei p30,99.2,1,New,3027,United Kingdom,huawei,Smartphones,1196.83
dell xps,220.53,1,Used,14763,United States,dell,Computers,3542.76
oneplus nord,96.53,1,Seller refurbished,293554,United Kingdom,oneplus,Smartphones,1146.97
asus zephyrus,188.16,1,Open box,37403,United States,asus,Computers,3152.76
dell latitude,136.59,1,Used,2170,United States,dell,Tablets,1065.82
macbook air,200.31,4,Seller refurbished,989,United States,apple,Computers,1998.39
dell latitude,235.0,3,Used,277,United Kingdom,dell,Tablets,1008.14
dell precision,198.73,2,Used,3086,United Kingdom,dell,Computers,2878.78
oneplus 8 pro,224.9,1,Seller refurbished,617,United Kingdom,oneplus,Smartphones,1619.31
huawei p30,93.36,4,Seller refurbished,22638,United Kingdom,huawei,Smartphones,874.59
xiaomi mi 10,107.48,1,New,2321,United States,xiaomi,Smartphones,1781.89
ipad air,86.22,4,Used,2153,United Kingdom,apple,Tablets,483.35
dell precision,93.38,2,Used,7798,United States,dell,Computers,1137.44
hp zbook,263.44,1,Open box,729,United States,hp,Computers,4535.44
hp zbook,182.13,1,Seller refurbished,13118,United States,hp,Computers,2073.31
huawei p40,262.93,2,New,960,Italy,huawei,Smartphones,849.33
galaxy book,0.0,2,New,9678,South,samsung,Computers,5828.7
hp zbook,231.29,1,For parts or not working,5446,United Kingdom,hp,Computers,153.02
hp zbook,231.07,1,New,16243,Germany,hp,Computers,8925.19
macbook air,144.04,4,Used,2315,United Kingdom,apple,Computers,1035.76
dell xps,203.05,3,Used,11993,United States,dell,Computers,3932.83
asus rog strix scar,388.75,1,New,5,United States,asus,Computers,5183.36
oneplus 8 pro,90.29,2,Seller refurbished,94331,United States,oneplus,Smartphones,975.06
gigabyte aero,277.24,1,Seller refurbished,76818,United Kingdom,gigabyte,Computers,5864.03
galaxy s20,104.46,1,New,4943,United States,samsung,Smartphones,1717.59
dell precision,136.03,2,Seller refurbished,2803,United States,dell,Computers,1950.15
lenovo ideapad,271.05,1,Used,21153,United States,lenovo,Computers,2098.31
asus zenbook,127.16,2,New,2769,South,asus,Computers,5836.11
galaxy s10,91.22,1,Seller refurbished,10722,United Kingdom,samsung,Smartphones,854.59
lenovo tab,86.17,1,New,8722,United States,lenovo,Tablets,666.11
iphone x,109.21,4,New,4601,United Kingdom,apple,Smartphones,1844.17
galaxy s20,35.25,4,New,231,Germany,samsung,Smartphones,1797.65
asus zenbook,233.52,3,New,78929,United Kingdom,asus,Computers,4762.28
huawei p40,137.08,4,New,16243,Germany,huawei,Smartphones,2036.16
ipad pro,99.93,1,Used,17276,United States,apple,Tablets,815.07
dell precision,230.74,4,Used,1679,United States,dell,Computers,1137.57
galaxy s10,94.1,3,Used,78415,United States,samsung,Smartphones,1173.36
hp zbook,231.07,1,New,16243,Germany,hp,Computers,8106.66
lenovo ideapad,128.96,3,Open box,3032,United States,lenovo,Computers,665.97
huawei mediapad,86.32,2,Used,132,United Kingdom,huawei,Tablets,584.71
dell vostro,171.98,1,Used,3425,United Kingdom,dell,Computers,299.22
xiaomi mi 11,225.56,1,New,3029,Hong Kong,xiaomi,Smartphones,6440.11
dell precision,180.69,1,Used,659,United Kingdom,dell,Computers,1889.2
lenovo thinkbook,203.05,3,New,6008,United Kingdom,lenovo,Computers,3598.17
huawei mediapad,86.64,1,Used,6380,United Kingdom,huawei,Tablets,506.32
galaxy s20,132.55,1,Used,618,United States,samsung,Smartphones,1657.62
lenovo ideapad,170.83,2,Open box,1193,United States,lenovo,Computers,1664.22
lenovo thinkbook,153.45,1,Open box,138,United States,lenovo,Computers,2334.79
gigabyte aero,266.32,1,New,16243,Germany,gigabyte,Computers,7671.96
galaxy s21,236.91,2,New,1210,United States,samsung,Smartphones,2497.99
huawei p40,0.0,2,New,5010,United Kingdom,huawei,Smartphones,1606.57
dell xps,233.83,2,Used,15723,United States,dell,Computers,2603.46
lenovo ideapad,206.12,4,Seller refurbished,40683,United Kingdom,lenovo,Computers,1190.99
galaxy s21,119.87,1,New,119196,United States,samsung,Smartphones,2564.61
galaxy s20,113.47,1,Seller refurbished,293554,United Kingdom,samsung,Smartphones,1979.4
lenovo ideapad,217.88,1,Used,121,United Kingdom,lenovo,Computers,575.42
huawei p30,4.41,4,New,4070,United Kingdom,huawei,Smartphones,10.3
huawei p30,183.9,1,Seller refurbished,18499,United Kingdom,huawei,Smartphones,870.04
ipad pro,142.71,4,New,2124,United States,apple,Tablets,2670.27
iphone 11,112.58,2,Used,8200,United States,apple,Smartphones,2049.38
huawei p30,104.5,3,Used,70,United Kingdom,huawei,Smartphones,552.4
iphone x,9.75,2,New,90,China,apple,Smartphones,1397.63
asus rog strix scar,103.67,1,Used,247,Japan,asus,Computers,6594.08
xiaomi mi 10,110.76,2,New,66,United Kingdom,xiaomi,Smartphones,1832.14
huawei mediapad,96.03,1,New,5101,United Kingdom,huawei,Tablets,112.41
asus vivobook,179.86,2,New,7471,United States,asus,Computers,2964.29
macbook air,161.03,2,Seller refurbished,71262,United Kingdom,apple,Computers,1288.85
iphone x,142.32,4,Used,563,United Kingdom,apple,Smartphones,1439.39
gigabyte aero,0.0,2,New,14357,Spain,gigabyte,Computers,13609.27
huawei p30,91.26,1,Seller refurbished,9869,United States,huawei,Smartphones,932.56
lenovo thinkpad,161.44,1,Seller refurbished,59433,United Kingdom,lenovo,Computers,1484.32
hp zbook,252.89,1,New,3461,United Kingdom,hp,Computers,5850.58
iphone 12,50.72,1,New,0,Ukraine,apple,Smartphones,1650.72
huawei p30,142.7,4,Used,248,United Kingdom,huawei,Smartphones,1818.33
iphone x,88.73,1,Seller refurbished,14692,United States,apple,Smartphones,1153.79
asus zenbook,212.15,1,New,11993,United States,asus,Computers,3980.26
iphone 12,152.13,2,New,341,United Kingdom,apple,Smartphones,2909.01
galaxy s20,112.88,1,Seller refurbished,94331,United States,samsung,Smartphones,2065.0
lenovo thinkpad,148.55,1,Used,2246,United Kingdom,lenovo,Computers,1284.34
lenovo ideapad,152.65,1,Used,885,United Kingdom,lenovo,Computers,828.61
ipad air,125.81,4,Used,4780,United Kingdom,apple,Tablets,782.53
iphone 12,120.25,2,New,391,United States,apple,Smartphones,2528.9
macbook pro,132.99,2,Used,371,United States,apple,Computers,1264.0
galaxy s20,107.19,3,Used,43886,United States,samsung,Smartphones,1859.14
dell precision,167.46,2,Seller refurbished,11394,United States,dell,Computers,2470.19
hp zbook,233.25,1,Used,391,United States,hp,Computers,1295.84
iphone x,90.2,2,Used,43886,United States,apple,Smartphones,1179.83
oneplus nord,118.61,2,New,453,United Kingdom,oneplus,Smartphones,1749.76
dell precision,182.24,4,Seller refurbished,1416,United States,dell,Computers,2437.5
huawei p40,47.23,1,Open box,28174,United Kingdom,huawei,Smartphones,684.83
ipad air,98.29,2,Seller refurbished,3010,United States,apple,Tablets,632.67
iphone 12,119.45,1,Seller refurbished,3918,United Kingdom,apple,Smartphones,2363.35
galaxy s20,156.42,1,Used,398,United Kingdom,samsung,Smartphones,897.66
iphone 11,108.35,4,Open box,22198,United States,apple,Smartphones,1828.39
ipad air,102.75,4,Seller refurbished,12671,United States,apple,Tablets,865.82
iphone x,140.07,3,Used,3753,United Kingdom,apple,Smartphones,1326.94
huawei p40,136.51,4,New,17243,Hong Kong,huawei,Smartphones,2921.86
asus zephyrus,251.28,2,Open box,585,United States,asus,Computers,5236.59
galaxy tab,145.41,1,Used,17259,United States,samsung,Tablets,1597.6
lenovo thinkpad,139.99,4,Used,2049,United States,lenovo,Computers,2925.24
ipad air,94.69,1,Seller refurbished,30140,United States,apple,Tablets,832.64
ipad air,101.78,3,Used,3431,United Kingdom,apple,Tablets,713.48
huawei p40,0.0,2,New,5010,United Kingdom,huawei,Smartphones,2435.18
huawei p30,119.87,4,Used,119196,United States,huawei,Smartphones,2098.04
lenovo thinkpad,151.2,3,Used,1693,United States,lenovo,Computers,1218.86
galaxy s10,141.45,4,Open box,44,United States,samsung,Smartphones,2109.44
lenovo tab,172.49,1,Open box,314,United States,lenovo,Tablets,1023.84
galaxy tab,0.0,1,Used,68,United Kingdom,samsung,Tablets,135.43
xiaomi mi 10,136.51,4,New,17243,Hong Kong,xiaomi,Smartphones,1991.36
huawei p40,113.6,2,Seller refurbished,6601,France,huawei,Smartphones,1296.86
ipad air,0.0,1,New,4246,Canada,apple,Tablets,2318.14
dell latitude,191.09,1,Used,90,United Kingdom,dell,Tablets,1552.48
macbook pro,189.93,4,Used,439,United Kingdom,apple,Computers,1035.76
dell vostro,218.8,2,Used,2635,United Kingdom,dell,Computers,889.29
lenovo thinkpad,179.29,3,Used,2084,United Kingdom,lenovo,Computers,863.54
huawei mediapad,0.0,3,Used,4052,Hungary,huawei,Tablets,626.63
lenovo thinkbook,194.71,1,Certified refurbished,8407,United States,lenovo,Computers,3330.67
galaxy s20,147.04,4,Used,581,United Kingdom,samsung,Smartphones,1574.33
lenovo tab,227.15,3,New,8437,Poland,lenovo,Tablets,614.33
dell latitude,217.89,1,Used,2459,United States,dell,Tablets,596.2
galaxy book,0.0,2,New,9678,South,samsung,Computers,6994.44
galaxy s20,165.94,2,For parts or not working,39515,United States,samsung,Smartphones,203.17
dell vostro,238.44,1,Used,1282,United States,dell,Computers,1165.71
iphone 12,0.0,1,New,0,Philippines,apple,Smartphones,1454.51
ipad pro,125.98,1,Seller refurbished,90596,United States,apple,Tablets,1793.22
iphone 12,117.97,3,Open box,10093,United States,apple,Smartphones,2331.46
iphone 11,145.12,2,Used,182,United States,apple,Smartphones,1998.42
galaxy book,0.0,1,New,2769,South,samsung,Computers,4326.58
galaxy s20,112.5,2,Used,389,United Kingdom,samsung,Smartphones,2024.09
dell vostro,171.92,1,New,1636,United States,dell,Computers,2282.25
dell latitude,245.04,1,Used,5461,United Kingdom,dell,Tablets,147.31
iphone 12,117.01,3,Used,8200,United States,apple,Smartphones,2281.7
dell vostro,200.34,1,Used,989,United Kingdom,dell,Computers,221.2
ipad pro,118.48,1,For parts or not working,17171,United States,apple,Tablets,17.93
hp zbook,209.63,1,Used,241,United States,hp,Computers,907.09
macbook air,176.63,4,Used,567,United States,apple,Computers,932.6
macbook air,155.74,2,Used,1174,United States,apple,Computers,2455.06
xiaomi mi 10,81.26,2,New,530,China,xiaomi,Smartphones,2600.21
macbook pro,304.14,2,Used,495,United Kingdom,apple,Computers,1519.11
huawei matebook,199.31,1,New,78929,United Kingdom,huawei,Computers,3566.8
galaxy book,0.0,1,New,6426,South,samsung,Computers,4329.88
xiaomi redmibook,137.15,2,New,408435,Germany,xiaomi,Computers,58.76
hp zbook,211.49,1,New,16243,Germany,hp,Computers,7311.62
ipad air,112.09,1,Used,2576,United Kingdom,apple,Tablets,460.29
huawei p40,111.42,2,Used,288,United Kingdom,huawei,Smartphones,1965.66
ipad air,118.12,2,Used,1255,United Kingdom,apple,Tablets,1611.18
ipad pro,91.0,4,Seller refurbished,7634,United States,apple,Tablets,726.19
iphone 11,116.64,1,Seller refurbished,69441,United States,apple,Smartphones,2294.85
galaxy tab,122.85,3,New,7042,United States,samsung,Tablets,1630.17
hp zbook,272.63,4,New,58911,United Kingdom,hp,Computers,6940.55
galaxy s10,104.01,2,Used,39515,United States,samsung,Smartphones,658.19
galaxy s20,78.33,1,Open box,49,Germany,samsung,Smartphones,1762.4
lenovo ideapad,162.27,2,New,196,United States,lenovo,Computers,1631.68
iphone 12,117.94,1,New,32390,United States,apple,Smartphones,2544.66
oneplus nord,116.98,1,New,119196,United States,oneplus,Smartphones,1299.99
asus vivobook,138.49,1,Used,41243,United States,asus,Computers,1165.68
lenovo thinkbook,141.22,1,New,9853,United States,lenovo,Computers,2095.01
ipad pro,99.02,2,Used,846,United States,apple,Tablets,766.19
